City, Country, AirQuality, WaterPollution
New York City, United States of America,46.81603774,49.5049505
Washington, D.C., United States of America,66.12903226,49.10714286
San Francisco, United States of America,60.51401869,43
Berlin, Germany,62.36413043,28.61271676
Los Angeles, United States of America,36.62162162,61.29943503
Bern, Switzerland,94.31818182,12.5
Geneva, Switzerland,71.53846154,17.37288136
Zurich, Switzerland,83.80952381,10.71428571
Basel, Switzerland,81.66666667,26.92307692
London, United Kingdom,37.04225352,40.71637427
Cairo, Egypt,15.830721,74.35064935
Alexandria, Egypt,41.03773585,71.2962963
Alexandria, United States of America,89.0625,46.15384615
Paris, France,34.02439024,43.12169312
Boston, United States of America,78.23529412,32.91139241
Toronto, Canada,65.53468208,37.7994012
Sao Paulo, Brazil,24.05660377,73.71794872
Vilnius, Lithuania,77.24719101,20.58823529
Monaco, Monaco,28.78787879,61.36363636
Brussels, Belgium,35.81081081,44.76190476
Poznan, Poland,33.07692308,50.42372881
Tashkent, Uzbekistan,56.4516129,49.16666667
Warsaw, Poland,27.27272727,36.01485149
Modena, Italy,39.0625,50
Tours, France,84.375,6.25
Singapore, Singapore,65.87837838,24.204947
Montreal, Canada,70.76023392,36.96319018
Cambridge, United Kingdom,69.82758621,30.55555556
Cologne, Germany,60.71428571,27.77777778
Skopje, North Macedonia,10.19417476,45.26315789
Gdynia, Poland,49.41860465,48.61111111
Szczecin, Poland,41.37931034,53.75
Ljubljana, Slovenia,72.16494845,17.58241758
Plovdiv, Bulgaria,31.41025641,36.29032258
Sofia, Bulgaria,23.62132353,40.94339623
Milan, Italy,24.39759036,39.49044586
Trieste, Italy,58.87096774,29
Lodz, Poland,28.84615385,40.44117647
Villeurbanne, France,75,50
Oslo, Norway,74.75728155,14.17525773
Bonn, Germany,82.8125,22.5
Katowice, Poland,27.77777778,48.33333333
Lisbon, Portugal,64.60674157,24.85632184
Rzeszow, Poland,37.5,47.05882353
Dubai, United Arab Emirates,48.87387387,39.84615385
Padua, Italy,29.16666667,50
Bergamo, Italy,46.66666667,35
Venice, Italy,36.25,67.85714286
Rennes, France,62.5,35
Lille, France,48.91304348,35.52631579
Moscow, Russia,41.47526502,49.72527473
Saint Petersburg, Russia,43.10344828,54.8816568
Heilbronn, Germany,80,0
Saginaw, United States of America,85,70
Bialystok, Poland,34.52380952,52.94117647
Nowy Sacz, Poland,30,100
Lausanne, Switzerland,78.26086957,17.5
Abakan, Russia,0,75
Novosibirsk, Russia,36.48648649,54.05405405
Yekaterinburg, Russia,27.90697674,58.33333333
Samara, Russia,48.4375,51.5625
Omsk, Russia,16.17647059,48.52941176
Kazan, Russia,41.25,58.33333333
Chelyabinsk, Russia,16.66666667,70.3125
Ufa, Russia,20.83333333,68.18181818
Volgograd, Russia,21.66666667,59.375
Perm, Russia,44.44444444,50
Krasnoyarsk, Russia,6.617647059,49.21875
Beijing, People's Republic of China,21.36627907,70.78313253
Vladivostok, Russia,35,67.5
San Antonio, United States of America,63.41463415,50.67567568
Tomsk, Russia,46.42857143,51.78571429
Tbilisi, Georgia,22.98387097,49.34782609
Maribor, Slovenia,76.25,18.75
Celje, Slovenia,50,8.333333333
Koper, Slovenia,87.5,0
Aachen, Germany,70.45454545,17.85714286
Nova Gorica, Slovenia,75,12.5
Kranj, Slovenia,80.55555556,12.5
Stuttgart, Germany,43.125,24.28571429
Biel/Bienne, Switzerland,37.5,31.25
Karlsruhe, Germany,87.5,5.555555556
Hamburg, Germany,70.76271186,24.50980392
Ahmedabad, India,32.96296296,66.9921875
Salerno, Italy,60,58.33333333
Prague, Czech Republic,63.21243523,25.70621469
Jamnagar, India,34.48275862,58.33333333
Busto Arsizio, Italy,0,75
Mumbai, India,25.16025641,75.32537961
Jerusalem, Israel,37.09677419,42.39130435
Grenoble, France,34.09090909,26.47058824
Dortmund, Germany,75,15.625
Ghent, Belgium,55.46875,27.67857143
Chicago, United States of America,57.43243243,53.62068966
Como, Italy,58.33333333,40
Montevideo, Uruguay,65.78947368,46.75324675
